62|Ernesto el portero|http://audios.oceanofm.com/programas/DeArribaunRayo/19-04-02ernesto.mp3|La invasión entró en receso y el robot que vino a "estudiar" nuestro mundo se embarcó en un nuevo divertimento que lidia entre el chusmerío y el espionaje.|2019.04.02-12:00:00|False||6800930|36
63|La encuesta de ErnABELARDO|http://audios.oceanofm.com/programas/DeArribaunRayo/19-06-24ernesto.mp3|Con toda la maquinaria forzada, el encuestador que vino a interrogar nuestro mundo llamó a los rayitos con una sospechosa batería de preguntas.|2019.06.24-12:00:00|True|19-06-24ernesto.mp3|12130328|36
64|Network Break 241: Extreme Buys Aerohive; Sloppy BGP Plumbing Causes Route Leak|https://tracking.feedpress.it/link/12487/12405389/NB_241_Extreme_Buys_Aerohive_Sloppy_BGP_Plumbing_Causes_Route_Leak.mp3|Extreme Networks spends approx. $227 million to buy Aerohive Networks to add a cloud-managed WLAN to its portfolio, a route leak resulted in cascading failures on June 24th, Oracle will retire Dyn managed DNS services, Mist Systems rolls out a new 11ax AP, and more tech news on today's Network Break podcast.|2019.07.01-18:02:11|False||37334297|27
65|A8M #774|http://tracking.feedpress.it/link/17056/11644987/A8M201906071249.mp3|Hub USBC Satechi. Salidas Jack 3.5mm, HDMI, USB A 3.0 y USBC para cargar &#8211; 58,78€ Infuse 6 Pro &#8211; 28€|2019.06.07-10:49:23|False||5242880|30
66|AaS! 107: Is interstellar travel possible?|https://traffic.libsyn.com/secure/askaspaceman/aas107.mp3?dest-id=234448||2019.07.02-11:00:00|False||27144529|18
67|AaS! 106: How do we measure the expansion of the universe?|https://traffic.libsyn.com/secure/askaspaceman/aas106.mp3?dest-id=234448||2019.06.18-11:00:00|False||26307251|18
68|Catástrofe Ultravioleta 24 - DISONANCIA|http://www.ivoox.com/catastrofe-ultravioleta-24-disonancia_mf_25776957_feed_1.mp3|En este último capítulo de la 2ª temporada nos proponemos descubrir las razones por las que a nuestro cerebro le gustan |2018.05.04-08:58:00|False||58204973|28
69|Catástrofe Ultravioleta 23 - TOTALIDAD|http://www.ivoox.com/catastrofe-ultravioleta-23-totalidad_mf_24623729_feed_1.mp3|El pasado 21 de agosto de 2017 tuvo lugar uno de los eclipses totales de Sol más seguidos de la historia. Millones de pe|2018.03.20-05:17:42|False||49042877|28
70|El Chiringuito de Jugones 02.07.2019|http://gb.ivoox.com/en/chiringuito-jugones-02-07-2019_mf_37958516_feed_1.mp3|Reunión periódica en televisión de periodistas y gente interesada en deportes para debatir, compartir y contrastar notic|2019.07.03-08:40:23|False||65024554|29
72|EG.732 KMLN|http://www.electronicgroove.com/Podcast/eg732.mp3|EG.732 KMLN|2019.04.22-00:00:00|True|eg732.mp3|90911868|11
